PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE
394,,,72.0614,-221.1631,313.0786,1,,,
395,,,72.2858,-222.3129,313.3568,1,,,
396,,,72.5468,-223.3806,313.6645,1,,,
397,,,72.7763,-224.3752,313.9804,1,,,
398,,,73.0667,-225.5969,314.4759,1,,,
399,,,73.3772,-226.7694,315.0119,1,,,
400,,,73.6882,-227.8304,315.6823,1,,,
401,,,74.014,-228.7836,316.4683,1,,,
402,,,74.3501,-229.5873,317.3383,1,,,
403,,,74.6516,-230.1451,318.2957,1,,,
404,,,74.9703,-230.5781,319.2148,1,,,
405,,,75.2947,-230.8423,320.3749,1,,,
406,,,75.578,-230.8564,321.5238,1,,,
407,,,75.851,-230.5965,322.6572,1,,,
408,,,76.0056,-230.2225,323.6458,1,,,
409,,,76.1672,-229.7292,324.5426,1,,,
410,,,76.2525,-229.0355,325.3427,1,,,
411,,,76.2241,-228.1307,326.094,1,,,
412,,,76.1938,-227.0527,326.7143,1,,,
413,,,76.0934,-226.0548,327.1021,1,,,
414,,,75.8775,-224.8917,327.3095,1,,,
415,,,75.6599,-223.6604,327.3533,1,,,
416,,,75.451,-222.6594,327.2206,1,,,
417,,,75.2051,-221.6521,327.0064,1,,,
418,,,74.9324,-220.6395,326.615,1,,,
419,,,74.6273,-219.6352,326.126,1,,,
420,,,74.2951,-218.6415,325.4757,1,,,
421,,,73.9644,-217.645,324.7484,1,,,
422,,,73.6217,-216.7026,323.901,1,,,
423,,,73.2695,-215.7699,322.9673,1,,,
424,,,72.9035,-214.8559,321.9489,1,,,
425,,,72.5413,-213.9388,320.8565,1,,,
426,,,72.1703,-213.0465,319.6858,1,,,
427,,,71.8722,-212.409,318.8564,1,,,
428,,,71.6234,-211.7604,318.0108,1,,,
429,,,71.3501,-211.1293,317.1656,1,,,
430,,,71.0476,-210.4782,316.3081,1,,,
431,,,70.7802,-209.8045,315.4327,1,,,
432,,,70.4795,-209.134,314.5667,1,,,
433,,,70.1905,-208.4581,313.6945,1,,,
434,,,69.9038,-207.7556,312.8184,1,,,
435,,,69.6294,-207.0724,311.9387,1,,,
436,,,69.3308,-206.3907,311.0302,1,,,
437,,,69.0615,-205.6848,310.1439,1,,,
438,,,68.7863,-204.9798,309.2412,1,,,
439,,,68.5045,-204.2751,308.3397,1,,,
440,,,68.2364,-203.5578,307.4486,1,,,
441,,,67.9783,-202.8497,306.5579,1,,,
442,,,67.7341,-202.1372,305.679,1,,,
443,,,67.501,-201.4228,304.8027,1,,,
444,,,67.2094,-200.7345,303.9059,1,,,
445,,,66.9469,-200.0242,303.0302,1,,,
446,,,66.672,-199.3165,302.1513,1,,,
447,,,66.4096,-198.6144,301.2632,1,,,
448,,,66.1562,-197.9024,300.3535,1,,,
449,,,65.9017,-197.1868,299.4485,1,,,
450,,,65.6506,-196.4658,298.5939,1,,,
451,,,65.3688,-195.7646,297.746,1,,,
452,,,65.0976,-195.0524,296.9001,1,,,
453,,,64.88,-194.3014,296.0585,1,,,
454,,,64.5482,-193.6026,295.2018,1,,,
455,,,64.3036,-192.9245,294.3249,1,,,
